UniqueCount	AmbigCount
0	0
0	0
3	0
0	0
59	0
0	0
4	24
23	0
0	0
4	0
0	0
482	67
1732	0
21008	8
18890	0
10	0
2430	28
2001	0
1	0
8131	6
2051	0
12125	14
7654	4
2671	4
3006	0
1253	0
3	0
955	0
1449	0
5	0
2233	0
23302	8
7366	14
11	0
17331	12
2895	8
2739	0
6256	0
558577	190
24	0
0	0
440	0
3586	4
29937	69
5	0
780	0
9835	8
1073	0
3050	2
4	0
3103	2
2626	0
6483	2
3190	0
967	8
614	80
4901	76
2	0
5498	2
1210	0
27206	12
4759	2
4144	0
2126	2
0	0
2240	6
20	0
6023	6
0	0
7	0
8591	8
3535	2
3108	4
5173	0
16281	10
2848	11
1006	0
1392	0
1812	2
6821	12
0	0
71679	37224
0	0
36020	12
0	0
3650	8
5064	4
4726	0
12716	10
1983	0
2659	0
748	6
1226	60734
1	4980
0	0
5612	2
38362	6
1409	4
1194	6
0	0
20	0
309	0
0	0
0	0
2309	0
1191	0
81	0
7	0
343	852
579	340
830	0
0	0
3824	18
4	0
605	36
5	0
0	18
0	0
0	4
0	0
0	25
2	126
0	3
0	0
1362	2806
35	11
13	9
2575	15478
0	44
0	1002
0	4430
36	0
0	1
0	0
0	0
0	0
2180	0
4229	4
6389	6
2347	0
2002	4
2311	0
5137	0
0	0
0	501
2470	31058
0	0
0	0
30340	22
3730	0
631	2
39	0
2723	2
20	0
5533	0
44325	15
1401	0
22123	6
1557	0
1103	0
3678	18
13242	20
5235	0
4761	4
1290	2
210	1099
3359	1099
2834	4
1935	2
4436	2
1014	0
1	0
32062	18
4933	4
698	0
0	0
0	0
21707	62950
0	0
553	2
2	0
11	0
2629	204
0	204
2731	0
2441	0
1994	2
3	0
17890	4
1162	4
2	0
4132	8
1797	0
889	0
801	0
13971	4
4511	0
9117	4
2829	2
2418	0
16	0
3503	2
4931	2
8123	4
325	0
7	0
20010	2
3207	0
14833	6
59	0
2701	0
1909	0
11173	16
2916	8
35	0
8561	8
0	0
3508	0
3086	0
3451	2
1197	2
1561	2
8466	2
6183	0
967	2
23903	10
1009	0
613	2
1197	0
62633	206
332	4
575	0
5942	6
1975	0
9630	4
964	0
2056	0
1038	0
784	0
15471	0
4021	4
5986	2
0	0
0	0
2512	0
200	2
4	0
6375	10
748	0
1531	0
0	0
1868	2
14030	16
4573	4
1	0
1962	0
15	694
2609	28040
0	0
8326	6
12438	11
8390	2
3982	6
6965	2
3734	8
5213	10
854	10
2090	4
4176	6
2531	2
2783	2
17658	9
22599	15
74628	22
79	0
0	1746
124	18764
96	0
0	0
4152	4
7294	2
3835	4
6570	10
284	0
127	0
1087	0
1212	2
732	0
4349	0
1884	2
