UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
1323	0
0	0
1	43
24	0
1	0
1	0
1	0
779	125
32509	26
39410	10
21981	2
8	0
3126	20
1363	0
3	0
8447	2
2199	0
8635	0
14103	4
5186	0
2502	0
1359	0
7	0
1181	0
1073	0
13	2
1657	2
15352	0
6191	2
11	0
6326	4
3751	0
2603	2
8446	2
43603	12
7	0
0	0
200	0
3748	18
18631	32
3	0
284	0
9120	2
503	0
2230	0
0	0
2684	2
2110	0
5515	2
2206	2
656	0
153	21
2142	21
15	0
4353	0
640	0
7357	2
1914	2
2719	0
1986	2
3	0
4053	8
2	0
8493	12
0	0
13	0
8448	6
1508	0
2051	0
4460	2
23373	8
2174	2
583	0
1132	0
1813	0
1102	4
0	0
38765	16336
0	0
21274	6
1	0
4956	14
4789	14
4097	2
2309	5
1250	0
1960	6
187	0
180	20029
0	1910
0	0
7446	0
21455	8
365	2
1881	0
0	0
9	0
312	0
0	0
0	0
2343	0
545	0
58	0
38	0
53	749
295	155
6937	0
0	0
5411	16
13	0
547	51
0	0
0	7
0	0
0	5
0	0
1	38
3	82
0	2
0	1
334	1248
9	1
5	0
1359	8764
0	2
0	745
1	3214
15	0
0	0
0	0
0	0
0	0
1223	0
1508	0
6757	2
1889	0
3342	8
2920	0
9328	5
0	0
0	441
612	9855
0	0
0	0
44150	28
1605	0
314	0
29	0
5492	12
27	0
6519	2
28863	5
714	2
10393	4
1466	0
1255	2
4233	2
12472	28
11825	4
2612	2
4560	6
52	291
976	291
2308	10
1139	0
7442	4
3630	4
4	0
20494	0
4943	0
749	0
0	0
0	0
12999	37529
0	0
1433	0
0	0
6	0
2348	172
0	170
2484	2
3039	0
5528	4
7	0
31255	12
810	0
1	0
4700	12
2931	0
1243	0
872	0
15025	2
1836	0
8231	6
2041	2
5080	4
18	0
1884	12
4185	2
7382	2
2945	4
230	2
17074	6
2237	2
22150	6
2	0
1891	0
7092	2
7037	8
1919	4
31	0
7681	7
0	1
5258	2
2529	0
4247	6
527	0
1978	4
8295	2
2822	2
362	0
46380	22
1887	0
2906	0
1912	8
45675	244
785	2
647	0
5785	4
1458	0
9614	0
1315	0
2900	2
1344	0
1084	0
10562	10
4880	0
17289	4
0	0
0	0
2713	0
257	0
0	0
6500	4
787	0
878	4
0	0
1690	2
10391	12
3096	2
4	0
2259	0
2	531
1720	19186
0	0
10792	4
674	1
1188	0
2613	6
11618	6
2289	2
2944	0
2055	12
3392	0
12288	14
2277	6
3190	14
4230	2
12145	8
42577	2
177	0
0	1467
194	19516
429	0
0	0
6903	14
7539	0
2643	0
8046	4
262	2
104	0
1477	2
10013	4
1116	0
5076	2
2181	0
12210	6
