UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
648	0
2	0
3	25
27	0
2	0
3	0
0	0
644	92
22181	30
52517	14
25680	12
9	0
2567	26
1101	2
4	0
8042	4
2287	0
13396	4
9955	16
4681	0
2052	0
1383	0
5	0
618	0
1170	0
15	0
1565	0
11499	12
6827	10
21	0
6542	0
2625	2
2065	0
8154	2
22184	4
1	0
0	0
128	0
3091	12
14638	32
0	0
279	0
10155	8
429	0
2187	2
0	0
2342	6
1882	0
4142	2
2644	4
602	0
96	20
1291	22
6	0
2438	0
475	0
5811	0
1458	4
2241	2
1801	0
2	0
2945	2
0	0
9669	4
0	0
11	0
6482	4
1495	2
2009	2
3936	0
12855	8
2219	2
412	2
859	0
1688	0
731	0
0	0
56814	22771
0	0
16370	4
0	0
3551	5
4464	20
3432	0
1719	0
991	0
2024	0
126	0
194	17354
0	2274
0	0
6859	3
15822	0
320	4
1733	0
5	0
10	0
266	0
0	0
0	0
2252	4
554	0
33	0
8	0
83	915
273	174
6081	0
0	0
6268	30
0	0
407	46
0	0
0	3
0	0
0	6
0	0
0	24
0	59
0	1
0	0
216	628
5	0
12	0
1364	8003
0	3
0	879
0	3707
13	0
0	1
0	0
0	0
0	0
822	0
1222	0
6662	0
1344	0
3399	0
2535	0
9113	2
0	0
0	228
359	7202
0	0
0	0
42939	36
969	0
352	0
39	0
5217	18
14	0
6336	0
21616	6
628	0
9390	2
1423	0
944	2
2630	2
8582	8
15398	6
2755	2
3829	6
60	227
820	227
1447	6
996	0
3823	2
4231	0
0	0
14811	6
4664	0
842	0
0	0
0	0
9806	26912
0	0
1288	0
0	0
8	0
1792	166
0	164
1688	0
2301	0
6302	2
6	0
43221	12
643	0
0	0
3829	6
2346	0
1346	0
840	0
17824	8
1799	0
7412	6
1900	0
4448	4
5	0
1236	0
4067	0
7606	0
3133	8
94	4
20262	12
2594	0
23776	2
14	0
1830	0
4800	0
7595	14
995	2
15	0
4978	4
0	0
5479	2
1909	0
2800	8
394	0
1356	0
9177	0
2899	2
343	0
47516	18
1904	4
1588	0
1317	2
35576	103
221	2
677	0
3615	2
1065	0
10899	6
1516	0
1666	4
1093	4
606	2
9843	0
4487	0
23907	4
0	0
0	0
2372	0
295	0
0	0
7196	13
543	0
622	2
0	0
1329	4
11676	8
2734	4
0	0
1852	2
21	760
1792	14229
0	0
5967	4
468	0
735	0
2559	2
12308	7
1819	11
3607	0
834	6
3052	6
17894	22
2013	13
1808	6
3757	0
10318	3
36988	12
81	0
0	1667
192	13536
99	0
0	0
6445	16
6358	0
2684	2
6060	2
243	0
103	0
1317	2
6352	0
660	0
3304	4
2427	2
10432	2
3747	2
0	0
2499	4
