UniqueCount	AmbigCount
0	0
0	0
6	3
0	0
91	0
0	0
6	19
17	0
0	0
0	0
0	0
348	59
1302	2
27524	8
18234	4
19	0
1679	10
1506	0
2	0
7527	4
1588	0
8358	2
7113	2
3140	0
2645	4
1248	0
9	0
1308	0
990	0
4	0
1544	0
12625	0
5694	6
9	0
11179	4
3295	0
3197	0
4052	0
372232	85
12	0
0	0
414	0
2635	4
21783	38
1	0
636	4
10429	2
858	0
2606	0
0	0
2908	0
2188	0
7828	8
3103	8
1016	2
788	67
5454	75
3	0
3454	2
1158	0
19118	12
3324	0
3009	0
1277	4
3	0
2614	2
8	0
6702	8
0	0
7	0
10630	6
2816	0
2124	0
3577	2
10074	4
2086	2
1433	4
1500	2
1976	0
6766	6
0	0
75764	36472
1	0
24146	12
0	0
5032	26
5611	4
4040	2
10268	8
1819	2
2546	4
622	0
1155	75179
0	4524
0	0
4425	0
24919	2
1391	12
1363	0
1	0
15	0
281	0
0	0
0	0
2964	2
960	0
77	0
20	0
351	810
501	273
407	0
0	0
3303	10
11	0
492	48
2	0
0	18
0	0
0	1
0	0
2	16
0	63
0	3
0	1
650	1448
17	21
4	14
1996	11712
0	46
0	1022
3	4181
22	0
0	5
0	0
0	0
0	0
1880	2
3477	0
5999	2
2094	0
1930	0
2053	0
4580	2
0	0
0	961
2609	32346
0	0
0	0
30753	18
3886	0
564	0
33	0
2403	2
32	0
3872	2
32098	4
939	0
15288	4
1154	2
1103	2
3977	2
9115	15
5095	0
3810	6
1778	2
156	733
2058	735
1807	4
1606	0
7648	8
1074	0
1	0
27368	12
4583	0
711	0
0	0
0	0
16962	46844
0	0
415	0
5	0
4	0
2358	197
0	197
2438	0
2812	4
2030	2
12	0
22706	12
1301	0
1	0
3485	4
2081	2
714	0
589	0
11485	0
3390	0
10826	4
2204	6
2344	0
21	0
3616	14
4788	2
7436	8
442	0
49	0
17105	4
2696	0
16855	0
55	0
2539	2
2209	0
9121	24
4633	14
53	0
6254	4
0	0
2783	2
3267	0
3566	4
1073	2
2242	2
5970	4
5298	0
870	0
22268	8
1205	2
632	0
869	10
41352	136
1041	6
483	0
5495	6
1893	0
8108	8
644	0
3593	4
1068	0
724	0
15545	14
2965	0
6125	0
0	0
0	0
2571	2
194	0
1	0
5836	4
616	0
1688	0
0	0
1759	2
11606	8
2839	2
5	0
2576	4
11	576
2630	36872
0	0
7918	2
10276	16
9067	0
3469	8
8132	2
2625	2
4936	4
1963	14
1689	0
5980	10
2070	10
2651	22
12454	3
18058	6
54546	12
142	0
0	1608
89	27791
220	0
0	0
4207	8
7486	2
2558	2
6323	4
365	0
145	0
912	2
1718	0
774	0
5230	2
1756	0
15267	10
