UniqueCount	AmbigCount
0	0
0	0
1	1
0	0
123	0
1	0
10	8
35	3
60	0
0	0
1	0
873	119
1072	4
823	0
3930	2
1	785
901	794
1876	133
31	133
4027	0
1216	0
674	0
4656	2
1826	0
1096	0
745	51
7	51
498	0
462	0
124	365
285	365
13541	6
2035	2
565	3408
12671	3426
1720	2
2417	2
2688	0
64059	93092
444	93059
0	0
138	0
4515	26
27957	165
22	2
420	2
896	0
515	0
963	0
61	22
1094	22
1349	0
2753	6
397	2
568	0
409	42
5730	192
258	144
5762	0
995	4
31314	16
3450	2
2356	2
829	968
34	968
3561	16
41	0
2509	2
8	0
299	66
3531	66
1038	0
1882	2
3408	2
4110	2
3170	6
805	2
1475	0
1393	0
5599	20
0	0
7618	11022
11	1821
26258	16
41	0
1581	14
3177	12
2100	0
8222	2
836	0
1259	0
639	2
614	46647
0	6814
0	1
3869	2
20379	2
836	6
630	5
1	5
4	0
210	0
0	1
0	0
1524	4
828	2
12	0
32	0
360	206
398	287
611	0
0	0
3493	18
2	0
411	100
6	0
0	7
0	7
0	33
10	2
17	98
14	60
0	11
13	8
1251	5917
16	22
1	4
1328	9824
0	4083
0	1282
4	5894
11	0
0	0
3	0
0	0
0	1
2753	0
2624	0
4656	8
1823	2
1889	0
1704	0
1795	0
1	0
1	1584
1708	22076
0	0
136	76
11128	92
2454	0
1339	2
81	171
704	254
4	83
2117	0
17074	6
1157	0
11077	8
1063	0
1082	0
2381	2
8075	16
758	0
3288	6
1088	2
14	565
2997	567
2089	8
681	0
3290	6
577	0
358	527
12004	535
1217	0
326	7
56	7
0	0
12193	12571
0	0
173	0
147	0
134	40
1687	103
0	61
1387	0
1877	4
987	7
12	3
922	0
1272	2
1	274
3529	294
1125	0
360	0
461	0
4734	0
1852	2
4730	6
1512	2
1782	2
488	436
2216	450
3558	6
2641	2
59	0
74	0
7565	2
2403	2
2153	2
14	0
1293	0
3136	12
5760	4
2744	14
10	0
7765	18
0	2
1025	0
1263	2
2461	8
818	2
962	2
3439	0
2275	0
423	2
6381	6
184	0
1168	2
1015	8
16556	58
418	5
447	0
3748	0
1486	2
4644	4
820	0
2639	2
877	0
861	0
10093	17
1637	0
734	0
0	0
0	0
2182	0
211	0
514	136
4216	146
591	0
1276	4
2	0
1312	4
6750	30
3094	54
1	54
1348	4
5	1704
2378	21815
0	0
4787	2
8520	19
13953	7
1899	8
1886	0
3801	24
1409	0
1611	14
1049	2
1950	0
2019	10
1139	2
15623	11
11580	29
16526	0
64	0
0	2657
88	20023
74	0
0	0
1890	14
7181	0
2483	5
3911	12
41	0
351	0
414	0
680	2
442	0
3399	2
694	2
6697	4
1761	4
1	0
2222	6
