UniqueCount	AmbigCount
0	0
0	0
1	2
0	0
100	0
1	0
18	6
61	1
52	0
0	0
1	0
678	134
878	0
856	0
3083	4
1	485
561	489
2458	156
70	154
3038	26
940	0
512	0
6671	26
1758	0
925	0
739	53
4	53
406	0
341	0
33	240
137	240
9502	12
2021	0
317	4158
17742	4189
1480	4
2101	0
2759	2
44862	69854
416	69825
0	0
118	0
2790	46
15456	96
12	2
287	2
1137	2
289	0
759	0
40	17
838	21
979	0
3243	8
492	0
438	1
337	53
5755	264
532	204
3689	4
877	2
40660	16
4235	18
2064	0
883	820
30	818
2940	14
40	0
2556	14
14	0
284	63
2995	77
758	0
2101	12
2828	0
3253	2
1731	20
815	0
1748	4
1093	0
5506	38
0	1
5473	6397
4	1335
19720	6
37	0
1414	2
2846	30
1774	8
6456	2
632	0
905	6
584	0
431	35140
4	9681
0	0
3140	8
14127	4
715	0
616	10
3	6
6	0
199	0
0	0
0	0
1682	6
929	2
8	0
41	0
387	282
331	232
746	0
0	0
3848	52
6	0
627	146
7	0
0	10
0	8
0	73
13	5
27	79
19	53
0	10
12	9
1148	5771
11	11
1	3
834	9420
0	3827
3	1612
2	8640
2	0
0	1
0	0
0	0
0	0
2011	10
2532	2
5446	0
1548	2
1899	6
1746	2
1693	10
1	0
0	1828
1291	18439
0	0
52	41
7546	49
1783	0
1001	2
90	81
511	131
5	46
1545	0
11808	12
1047	0
8565	6
712	0
1172	2
2604	14
7980	14
698	0
2797	16
996	2
17	932
4534	938
2329	2
497	4
3055	16
489	0
252	351
9863	369
1140	2
323	7
98	9
0	0
10337	7504
1	0
137	0
139	0
89	31
1718	100
0	57
1194	0
1446	4
1075	6
10	2
838	0
987	2
1	199
2009	223
950	2
264	0
437	0
4304	2
1363	0
3395	18
1157	6
1714	0
153	302
1394	308
2614	2
2296	2
52	0
63	0
7745	28
2059	0
2083	0
9	0
977	0
5597	24
4621	32
2871	8
10	0
5717	22
0	2
762	2
1190	2
1540	14
798	9
873	6
2628	0
1756	0
378	0
5769	3
194	0
1122	2
701	12
12251	36
250	2
358	0
2406	0
1230	12
3538	4
660	0
3131	6
655	2
856	2
12602	36
1274	0
818	0
0	0
0	0
1564	10
227	0
594	204
4343	200
404	0
1138	6
4	0
963	8
6973	80
2826	78
2	76
1056	10
6	2588
1942	19369
0	0
5258	12
7090	38
13869	3
2165	40
1700	0
3273	26
1195	2
1549	42
1688	0
1758	2
1774	32
964	14
12760	11
13922	21
13954	6
40	0
0	2201
59	16316
90	0
0	0
1975	18
8290	4
1646	5
3003	4
29	0
339	0
358	0
757	0
313	0
4156	2
486	0
5157	8
1227	2
2	0
1742	6
12658	20
2073	14
24401	15440
