UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
3383	22
4	0
5	7
12	0
20	0
2	0
1	0
1391	118
56700	126
12099	26
12505	50
2	211
252	219
663	54
26	54
3382	12
1807	0
1735	0
2456	12
1073	0
1225	0
450	10
0	10
324	0
349	0
30	317
272	317
6054	6
1588	4
51	330
2196	330
628	4
648	2
7952	0
3950	7431
63	7430
0	0
92	0
958	8
8323	64
2	0
37	0
2687	2
145	0
672	0
47	14
400	14
1059	0
590	6
340	0
449	0
136	16
638	18
24	2
1589	6
112	0
884	2
694	2
720	2
1233	878
14	872
848	2
12	0
3610	10
75	0
74	35
2598	41
376	0
1058	8
2551	2
2691	2
1707	18
206	0
715	0
2228	4
176	0
0	0
4168	2179
0	425
5391	0
2	0
742	2
1867	6
530	0
760	2
241	0
433	2
89	0
70	8678
0	4221
0	0
1416	2
3732	2
130	0
397	0
1	0
2	0
206	0
0	0
0	0
768	2
325	0
7	0
21	0
112	132
84	85
16366	10
0	0
2378	68
11	0
485	95
8	0
0	7
0	2
0	9
14	2
10	58
13	34
0	4
3	3
189	562
3	0
0	0
940	7358
0	3049
2	447
0	1617
4	0
0	0
0	0
0	0
0	0
1591	4
1119	0
3115	0
691	2
1242	0
1283	0
1482	0
0	0
0	308
145	2766
0	0
209	157
28143	225
383	0
109	0
30	109
1136	233
9	120
1249	0
2190	2
591	0
5853	4
1063	0
386	2
1418	6
1925	1
2044	2
427	0
763	4
2	94
318	94
219	4
324	0
802	4
4694	0
148	155
2379	157
7480	4
129	2
12	4
0	0
1625	1565
0	0
171	0
214	0
40	14
809	41
0	27
685	2
754	2
2247	11
5	3
7629	2
177	0
1	148
762	154
666	2
923	0
849	0
2907	6
223	0
1511	6
296	0
1234	6
112	164
456	164
1070	2
2602	10
2583	8
699	20
2592	0
743	0
7820	0
0	0
5619	2
652	4
1846	14
266	0
9	0
452	0
0	0
844	0
584	0
752	6
162	0
191	0
5145	4
435	0
18	0
26663	12
530	0
1756	0
241	0
3123	13
142	0
293	0
569	0
266	0
2578	8
1818	0
762	4
723	6
351	0
3359	4
1100	0
21301	6
0	0
0	0
424	0
41	0
43	22
1220	28
167	0
149	2
0	0
584	4
2092	14
1196	27
0	27
549	0
2	2026
477	5964
0	0
1730	2
244	2
508	0
2194	24
2666	4
1001	4
464	0
333	4
730	2
3453	8
352	0
606	2
2995	4
5221	5
7268	2
8	0
0	2288
28	6265
132	0
0	0
779	12
1139	2
739	0
981	0
54	0
208	2
464	4
564	2
259	0
526	0
657	0
1990	2
2081	8
2	0
722	2
303	0
306	0
5080	3003
13	0
873	2
2044	4
3252	32
3	0
487	8
3040	8
658	0
77	0
13769	0
6	0
