UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
5880	28
4	0
16	23
45	1
54	0
0	0
0	0
1880	477
53308	101
12752	30
15396	44
0	259
293	263
924	109
26	109
4297	8
2216	2
1942	2
4092	10
1639	4
1141	0
846	76
5	76
373	0
608	0
53	421
255	421
7458	12
1524	0
100	878
3383	882
1006	2
883	0
10655	14
2268	4332
21	4334
0	0
76	0
1118	19
8196	38
7	0
82	0
2730	0
183	0
685	0
32	12
464	14
1365	0
888	2
310	0
776	5
170	24
1186	50
83	29
2345	0
136	0
1195	0
1004	0
1001	0
1310	1249
17	1245
1365	6
12	0
5361	6
37	0
192	60
2768	62
474	0
1365	14
2774	2
2807	0
1513	8
301	0
891	2
2665	2
239	10
0	0
3012	2322
1	578
7331	4
25	0
966	4
3279	16
696	2
841	0
292	0
393	2
127	0
46	8144
1	6254
0	0
1978	4
4561	4
210	0
518	6
1	4
5	0
224	0
0	0
0	0
1115	4
550	2
9	0
21	0
106	262
124	87
13038	5
0	0
3522	84
19	0
1119	461
7	0
0	5
0	7
0	19
12	6
12	100
16	87
0	4
4	5
135	701
6	2
0	0
439	7801
0	3298
9	1128
0	4958
11	0
0	0
0	0
1	0
0	0
2158	0
1633	2
7479	2
824	6
2202	0
2151	0
1969	6
0	0
0	691
199	4623
0	0
306	180
30168	230
521	0
134	0
76	284
1374	437
6	149
1915	0
3397	2
1108	0
5317	4
1509	0
569	2
2721	16
4010	2
2359	4
824	4
1272	5
12	120
457	120
742	0
371	2
1312	0
5351	0
118	203
3852	203
2726	4
173	4
36	4
0	0
1924	2087
0	0
256	0
237	0
46	23
906	49
0	22
906	0
792	0
4999	61
34	45
7609	10
435	0
0	132
1013	134
765	6
1547	0
1411	0
3273	0
341	0
2079	0
405	0
1579	2
96	137
479	143
1428	4
4098	14
3284	10
535	14
4084	6
971	0
13427	12
4	0
8069	0
1193	8
2202	18
476	2
17	0
667	0
0	0
1155	0
618	0
844	12
205	0
287	3
6959	2
467	0
20	0
29273	35
897	0
2184	0
450	2
3957	27
210	0
460	2
713	2
387	2
3985	10
2953	0
1488	4
988	12
739	0
6902	24
1586	10
34427	20
0	0
0	0
873	10
168	0
186	96
2002	96
215	0
186	0
5	0
643	0
2966	20
2819	97
0	91
547	0
2	3948
492	8916
0	0
3539	2
313	0
467	0
3038	28
2955	4
1716	4
495	4
585	14
1099	0
4313	2
471	2
631	4
4606	6
9556	12
6733	4
6	0
0	3536
65	8765
158	0
0	0
1344	18
1503	2
957	2
1197	6
41	0
618	0
682	4
966	0
471	0
770	0
885	2
2309	6
1444	2
3	0
926	2
445	0
433	0
4688	4313
21	0
1194	2
3892	20
4825	84
11	0
686	8
