UniqueCount	AmbigCount
1	0
0	0
5	2
1	0
223	0
0	0
74	27
218	3
207	0
7	0
2	0
2612	650
2961	1
2885	2
9882	28
3	1470
1612	1504
6085	478
151	474
8428	24
2564	2
1533	0
12900	6
4793	6
1992	2
1868	148
4	144
1206	0
859	2
105	539
284	539
19481	4
5422	20
779	10939
39443	10969
3928	2
5725	2
5999	0
154461	206012
1241	205949
0	0
299	4
7750	53
59312	410
38	16
888	19
2619	2
847	0
1654	2
127	60
2449	62
2615	0
9867	18
1424	2
1258	0
745	158
13776	771
1097	611
10163	4
3189	18
72802	26
8409	12
6262	14
2044	1993
50	1991
7868	20
40	0
7218	24
29	0
679	247
7465	261
1845	2
4809	27
7946	2
13804	6
5075	22
1947	6
3359	6
2212	2
8857	24
0	0
16049	25571
16	5392
70209	26
115	0
3723	4
8398	40
4912	8
12534	3
1917	0
2895	6
1657	2
1507	113149
29	34653
0	0
9071	12
35944	20
2191	6
1637	23
14	19
14	0
470	0
0	0
0	0
3064	6
2308	0
46	0
106	0
833	646
830	766
1873	2
0	0
12756	124
32	0
2027	717
11	0
0	52
0	54
0	339
51	19
87	320
116	269
0	37
34	62
8339	42215
38	138
16	54
4741	34017
0	13739
16	7597
40	36027
13	0
0	2
4	0
0	0
0	2
3718	2
6654	14
13455	6
4437	8
4166	2
3882	3
4618	2
3	3
0	3487
1313	36251
0	0
259	156
19717	204
4159	2
4087	8
182	194
1069	324
10	128
3423	0
33804	8
2372	0
23312	18
1896	0
2512	2
8160	34
25932	67
2343	4
8501	50
2777	0
35	1678
9112	1680
7501	11
1551	6
9118	18
967	0
782	1192
36032	1224
2549	0
774	25
126	25
0	0
32531	27265
3	0
335	0
336	0
249	208
5192	392
0	164
2954	2
4026	8
3110	23
44	21
1471	4
3759	8
6	501
5827	521
2222	2
651	0
947	0
9985	2
3699	0
10041	14
2875	6
3313	8
604	1080
4290	1096
9278	28
5171	4
133	0
199	2
28172	40
6345	4
3959	2
17	0
1856	0
7711	30
11283	40
4418	14
32	0
14641	27
0	3
1838	0
3252	6
3605	12
2284	0
3100	6
4545	0
6217	4
1304	0
15078	10
391	0
3374	2
2199	10
36892	221
721	4
869	0
8873	8
3290	6
11631	12
1396	0
6519	23
1419	4
2072	0
29808	94
4217	2
1917	0
0	0
0	0
4457	12
787	2
1852	635
13654	638
1122	4
4114	8
5	0
2410	4
19869	100
5917	218
2	214
3709	18
20	10481
7123	76069
0	0
14756	18
18536	38
41303	14
3699	16
4010	0
6284	20
3292	4
2858	30
1898	2
3481	2
4568	19
3074	20
36672	66
37460	67
38759	8
147	0
0	8630
327	59584
167	0
0	0
4028	28
22109	13
4506	7
9130	14
86	0
982	0
1227	2
2098	2
861	0
11306	12
1324	4
18203	20
2796	2
5	0
4850	8
27945	14
4983	6
70677	49946
146	0
1115	0
13453	26
5695	38
60	0
42545	420
16200	24
1574	2
7943	16
6861	2
95	0
9588	16
5792	36
10981	36
2936	8
0	1
507	2
2138	0
468	0
36687	88
5811	0
615	33
65	33
4784	8
2125	2
2966	2
3940	18
0	2
1932	6
0	0
81	117
0	117
3183	0
4586	0
2666	0
7982	4
3817	10
2705	2
2384	8
704	131
5	121
1407	2
1287	0
11795	7
45643	40
33219	88
2370	0
1832	0
913	0
0	0
8486	46
12778	30
113	0
71	2
439	0
96269	60
24426	41
6636	8
6032	14
0	0
0	1
12929	8
3938	18
17394	75
60144	226
771	0
782	0
43511	104
1856	0
1062	2693
1101	2693
3551	1232
679	1232
820	0
23895	181
70433	208
3594	0
2188	14
2703	0
2294	0
1340	289
1	277
6846	0
4089	19
3373	10
0	0
3408	0
4872	8
37106	31
1123	4
4219	14
3339	0
57	0
9209	12
5861	6
514	2
12483	959
733	899
3513	8
12950	6
347	61
898	63
101348	504101
2731	16
578	4
34306	151
0	59
2828	12
3429	195
146	179
1962	0
15176	2
4110	219
212	217
30605	12
586	0
960	0
4264	2
1700	0
0	0
4008	2
8340	24
341	6
2994	6
3520	14
921	2
1075	10
10613	26
13018	52
2390	2
0	0
6407	30
16715	76
46	0
12986	4
4595	22
503	6
769	8
7730	6
3549	22
6138	0
1510	8
1715	0
4619	2
5501	14
2536	6
2349	2
14028	28
18014	14
2242	0
2664	4
55205	26
2397	0
3673	12
1954	2
2283	0
3164	0
841	0
1763	4
2952	4
3554	14
7064	34
7013	40
4251	2
47	221
1817	221
894	2
23457	35
28	5
3259	6
415	0
22570	31188
442	0
8	0
844	0
266	0
893	0
1266	2
7587	46
517	0
57790	28
34	0
40896	52
0	0
1689	2
1004	2
232	0
2583	2
58101	64
9	0
9	0
2426	0
12145	10
15133	12
4091	4
0	0
1324	2
65	0
6295	2
1028	4
1949	2
13293	2153
741	2149
17931	56
12265	8
2	0
0	0
0	1
3156	2
1470	0
7045	11
1141	0
3796	8
5272	36
2371	4
612	2
25277	397
0	1188
13647	1203
21348	4
0	0
3128	8
1573	49
0	2
66	43
2532	14
124	12
4538	27
1745	0
13033	32
1422	0
857	0
2888	34
4259	6
223	351
2204	351
532	0
7178	0
10542	29
2745	4
7893	22
10504	18
2513	2
538	0
3436	4
2227	0
9717	22
603	0
7790	20
5077	2
4978	12
13572	10
14116	6
152	4
1709	0
2588	16
1432	0
1304	0
3375	28
1294	2
5688	4
1348	2
486	0
1527	7
3776	2
5817	0
917	0
14749	26
3267	2
5413	4
6909	1591
8	1590
2562	0
3807	2
1781	6
2465	0
1725	0
4207	0
1214	4
8443	28
6411	2
153	399
1261	398
7254	8
1365	0
2837	10
1458	0
26132	12
372	0
112	0
118110	173
7443	38
2374	2
5102	25
6048	0
1139	2
34	0
2134	0
2840	2
5820	2
61680	109
0	0
497	11
1027	4
2	0
214	404
19	119
5	30
22	9491
0	0
0	0
1	0
23	122
12	347
9	472
0	9445
0	1
0	591
2169	12
2567	6
4786	22
6396	6
771	4353
11	4349
3169	0
8145	28
2174	3
1883	0
16450	24
3543	0
3037	0
14587	0
4322	2
10	0
95	0
780	0
26300	1298
770	1258
3978	14
114031	246
1242	75
517	34
13783	36
4815	6
4336	6
2414	0
3094	0
2040	2
8035	2
1570	0
2677	4
7950	4
29027	21
3167	16
6316	8
1747	4
111	0
55	0
32667	31
57	6
2956	1137
5	1098
0	1
231	0
3	8583
479	65890
0	0
0	0
4886	2
1108	0
6268	20
822	0
20646	8
4648	20
21116	15
4992	6
1287	14
2950	12
200	0
3620	12
1538	10
2321	10
9067	8
35	0
39	0
36	0
3999	0
1379	17
9579	26
9841	0
200	0
0	0
477	0
0	1
6725	14
5463	2
336	0
21066	12
140509	86243
17494	86193
1981	8
1156	2
929	0
0	0
7377	86
28899	64
1084	2
0	0
0	0
137	16
1005	2
232	0
961	0
234	0
2183	4
113	0
6780	12
1137	0
10174	361
541	2
83	0
7769	6
960	0
0	0
5939	24
2736	2
6866	6
1	0
36097	85
195	0
5278	28
12260	28
27674	48
5538	4
4018	10
4653	4
1153	486
0	6
0	9445
0	1
146	591
9308	18
1315	0
5733	8
3051	428
2	426
7826	6
8845	283
2	283
1375	4582
14490	5017
103	385
15467	0
9188	6
18337	12
1089	4
9560	4
4336	0
1689	0
3547	2
0	0
359	345
293	333
7049	0
915	4
5391	8
4037	0
10226	12
1734	4
4603	4
4230	10
4622	6
1760	2
617	0
1748	0
13997	35
2795	2
1786	31
0	31
1128	0
2697	0
19098	4
184	0
931	0
742	7801
14	7800
18349	16
4687	222
1735	0
1798	4
3567	2
17519	12
4068	2
1209	2
3	0
0	2167
6296	22
0	72
0	0
1083	0
160	0
344	0
309	0
196	2
2	0
14	0
666	2
2102	4
1521	24
0	0
1144	2436
0	0
3	1957
41	565
152	798
69	24
631	6
88	0
537	0
0	0
4249	6
1267	4
1278	2
10490	2
8372	4
1167	4
3000	0
1478	4
103	0
7214	22
2933	0
74637	59799
792	27807
5424	12
7135	10
4860	6
5709	4
8194	4
847	0
333	173
2478	171
1101	2
287	0
1961	10
1233	2
4354	8
380	2
16520	175
16019	20
1006	0
0	0
672	0
2447	2
12068	14
5810	22
1785	16
6563	8
828	5
3088	2
2011	2
4117	20
657	0
993	0
6045	2
3287	10
94	2
19335	18
1843	0
6369	26
11759	12
54709	9454
5367	24
6830	8
4624	154
30	9
722	9
344	0
44192	40
508	648
373	4
13305	1759
477	0
2678	2
2095	4
8206	12
910	0
2821	2
2206	2
13886	0
10475	5217
547	5132
18929	4
7553	8
409	0
6153	20
6097	0
3387	13
1648	0
5198	254
1	254
18	0
6756	4
866	0
3302	4
0	0
1663	55
1	37
120	6
2108	4
1991	4
3713	0
1092	2
14857	731
546	718
648	2832
4588	2836
2169	6
12936	74
10907	73
1682	10
22593	42
4210	4
15634	90
723	0
5458	6
37314	649
881	0
8741	12
10942	2
26515	9447
2591	18
4020	152
95	648
2153	8
8468	16
9272	1721
1418	4
18994	6
1039	2
17563	14
1901	2
43291	116
7798	2
14448	18
2579	0
11081	80
5719	9
2103	0
645	269
287	269
5387	10
3823	6
4087	12
24	0
37	0
2650	8
8129	36
3912	6
3274	2
2061	0
4110	6
931	2
2471	2
1020	0
939	10
3410	0
3340	4
1514	2
13044	4
11054	61
986	0
13353	12
2228	7151
52637	7255
293	97
9494	111
2964	2
1851	4
1942	2
2076	14
3946	2
1291	0
3630	2014
3	2010
1935	18
774	0
20494	10
41195	10
24309	9
11410	6
4495	0
1007	0
13000	25
2210	6
2801	30
57077	18
185	0
6596	22
4161	18
3987	4
1290	0
39337	235
236	161
21	160
665	0
11017	4
5005	4
7097	4
2411	443
409	441
5395	2
13156	29
454	0
8411	26
614	0
4480	6
66565	108
0	0
4806	8
3789	8
10799	10
9588	1117
251	1063
4244	0
6995	22
9464	0
9474	4
1546	0
2163	0
882	6
1213	2
2158	856
35	842
9787	48
3350	3
1461	255
2308	18
8230	237
140	225
1527	194
54	192
15472	106
2323	4
19275	25
2638	4
2407	362
196	348
5413	33
0	7
302	0
6	0
0	0
1766	471
5603	464
1368	0
3959	8
8527	24
1831	14
1078	5
46	5
11271	44
55291	215
4324	14
1768	0
531	862
3867	884
883	32
770	0
0	0
0	0
0	0
19267	52
1944	0
5693	22
1607	2
6079	12
1815	2
1672	0
5920	51
9649	4
3135	4
13	0
2712	2
4384	8
6998	20
2648	385
197	385
474	2
53	0
12556	30
41431	49925
609	2
982	10
33	20
0	20
501	0
8701	18
372	0
15613	32
1142	0
1591	2
742	0
0	1
26255	54
8	0
38279	96
4824	2
5420	0
9653	20
393	4
1228	4
552	2
9328	2
72184	17
4158	26
1508	57562
4	7307
0	2
0	0
0	0
6	0
15805	4
2146	6
43001	478
1569	29690
163	33474
3021	28269
2396	12
89	0
9	0
1465	2
4473	0
572	0
24627	56
9114	20
69	68
4236	82
185727	73
2762	26
6605	427
13	399
6161	2
18299	29
7402	6
3938	2
886	6
0	0
0	1
708	0
18114	38
4015	10
27668	28
1613	0
53664	12
1092	0
254	0
909	2
5703	16
2202	2
93	0
6187	4
10594	14
1275	0
5865	8
1844	0
1285	0
68938	193
739	2
624	2
335	0
4357	16
4087	4
1385	6
7714	38
7239	27
793	0
958	0
4258	14
2676	24
0	0
4694	4
4922	28
5327	10
3429	4
20797	1417
115	1376
22	0
1916	2
5486	14
11315	2
0	0
283	105939
0	9075
9844	2
1473	0
9073	0
60	0
4351	14
2889	0
7194	2
320	0
0	0
4852	6
1947	2
2978	14
3691	8
4812	184
167	171
2379	18
20	0
1330	2
2385	12
2941	2
1141	2
5	0
9525	14
33	0
11507	46
2192	2
7222	4
3419	2
1223	2
904	0
2476	4
22743	12
7633	47
17570	8
2417	4
852	10
798	0
3631	3296
12072	3296
27010	53
106	0
2371	4
3909	14
1417	2
1759	0
7512	26
1305	0
6167	26
12676	20
6040	14
5941	6
3961	8
4355	12
668	1796
15849	3344
1850	4
5000	2
5045	0
7275	6337
35426	6345
2185	0
1140	36
19552	2
5890	36
4400	10
6335	10
3226	2
2843	63
3203	2
5324	8
5452	4
3226	2
4498	6
6854	4
10	0
21970	96
0	0
1052	3592
2343	4
22892	21
902	4
10046	27
2613	2
8821	18
4917	0
685	5
716	0
966	0
3665	6
2421	12
10671	10
19	0
852	0
58	0
2711	2
466	0
8346	8
2759	2848
22162	2853
6117	20
12852	44
1036	0
1314	263
130	263
7165	16
0	0
2039	12
3822	8
1402	2
1412	4
264	357
3929	363
1446	0
1217	214
224	212
2037	0
4054	10
7465	18
3275	12
5603	8
2816	1880
27	1877
13	4106
369	63655
983	68113
52	5530
0	0
9898	16
10414	4
4831	2
4540	34
90	0
2915	2
5712	16
67	0
1671	2
1	0
8636	22
1650	2
660	8
33506	25
16598	4
22412	13
6572	16
2868	0
4180	10
277	309
1532	305
10093	18
34819	243
5667	8
1785	10
2374	0
1490	4
14075	10
3831	8
1633	4
12	0
0	0
1583	2
1871	0
3401	0
12741	14
4114	4
45	0
4023	2
1123	4
970	2
6	0
6028	6
278	0
570	0
1581	2
1225	0
1690	0
2294	4
3095	0
314	0
1179	2
14337	28
0	0
25	5114
1434	48425
422	189433
0	27802
0	0
9525	10
1433	0
28122	79
1471	2
4632	22
3853	0
2212	24
51	677
20721	1723
425	997
3549	2
1003	2
1527	2
2779	2
2703	4
1480	2
15	0
0	0
2520	6
4608	0
1986	3
1179	0
7498	28
5399	0
979	8
528	0
2698	0
1168	4
3372	34
43	16
4036	2
9188	8
15557	30
13413	25
2458	4
3065	20
15485	4
2346	0
6183	14
4472	4
6431	2
1650	0
3207	2
16739	4
2182	0
2218	18
0	1
6537	10
636	2
7062	0
9057	20
2687	8
2738	2
1330	4
913	2
1258	0
2980	13
0	0
2	9336
95	131600
705	2
2564	2
1810	0
4221	16
2572	0
6	0
8306	0
1923	0
3008	4
804	0
7791	26
3318	6
26487	60
1629	352
8314	357
4752	20
2765	2
5381	16
1859	4
4771	40
7537	40
7212	18
1141	4
3074	4
2476	4
4525	0
0	0
15	0
17179	68
315	7614
28	7614
117	0
119113	610
12628	50
3013	4
8233	4
16894	6
0	1
2619	8
3650	6
4200	6
24279	50
4855	102
0	70
167	250
4915	262
795	0
2034	0
6493	244
183	196
3828	2
3999	0
1829	8
0	0
2326	33
2200	12
30835	29
1	38983
5413	224480
134	0
2282	2
2997	2
1411	4
1793	8
1769	5
0	3
6440	2
1773	0
21	0
541	0
3181	0
1851	0
480	0
3518	0
4591	26
243	0
1260	0
12294	34
4911	46
37057	9
1587	0
7100	6
26162	98385
1706	8
2815	6
15948	80
4930	34
4349	6
0	0
1718	0
2313	6
2908	8
8965	0
7331	6
809	1914
2074	1914
11485	52
13187	5
1591	0
1	66
119	66
310	0
2282	2
6031	2
8073	18
15	0
5213	0
11666	4
5057	12
2304	2
7350	2
1186	4480
63	4478
2055	10
5046	8
3234	2
15896	12439
12345	12444
2658	6
0	0
11898	61
1522	2
7907	10
4975	4
1317	0
2974	99
37	97
2970	10
1045	2
24298	38
4846	28
50	0
19222	6041
216	6022
8323	2
1646	0
6385	8
463	0
2707	14
1017	0
2610	12
1109	0
120	183
3126	181
4548	87
28	55
0	0
26	2
19394	26
2888	2
3819	4
31886	16
2908	2
30170	286
529	0
11226	8
376	271
13549	303
24906	96
4975	10
1904	2
2743	4
742	0
1083	2
1335	0
8497	20
24257	292
0	130
10669	6
5256	482
207	472
1646	0
1575	0
2192	4
23228	14
112	0
1921	0
3532	0
6295	13
4702	0
7676	6
1167	2
4276	4
2105	6
47809	24
2142	2
37136	76
1417	8
10144	26
2158	0
5725	2
3925	12
900	0
2609	28
2670	23
9803	5
794	0
2905	10
3123	16
6714	18
400111	993
2713	0
3288	5
48588	33
979	4
47971	19
2065	0
249	0
4358	4
2711	6
0	0
6939	18
37253	1506
983	1510
5830	4
38	0
476	0
2010	0
2855	22
3723	0
2016	0
2755	0
5643	10
6419	10
3720	12
1919	180
61	178
367	0
495	0
3906	2
56	0
22229	10
0	0
18	0
1043	12
64	2049
3538	2073
632	0
2324	8
1278	4
2387	0
2436	2
1744	0
1622	24
1330	28
35	0
734	2
92	485
258	485
3100	4
357	2
1651	0
8	46
