UniqueCount	AmbigCount
0	0
0	0
1	1
0	2
10339	32
6	0
29	31
109	1
121	1
0	0
1	0
4222	434
206951	367
39497	72
46265	134
1	514
464	522
1574	98
43	98
10516	32
4153	2
5726	6
6233	12
4504	12
2187	0
2206	160
6	158
775	0
545	0
42	422
298	422
28514	18
3977	4
178	1308
5577	1310
1731	2
2274	0
20858	12
8786	13426
68	13426
0	0
116	0
2952	36
16278	83
1	0
55	0
10728	12
235	0
1579	0
65	18
1368	22
2310	0
1875	0
1368	6
1117	0
121	19
1771	120
135	101
4685	2
297	0
2231	3
1475	0
2352	6
2974	2635
45	2625
3335	12
41	0
11546	36
44	0
686	184
7028	197
773	0
2659	14
6021	2
7823	2
3340	10
487	0
1313	10
5099	2
328	2
0	0
7868	5204
4	1300
9990	2
10	0
2015	6
5009	30
1789	8
987	0
511	0
827	0
172	0
221	31422
2	10596
0	1
5159	10
10272	2
290	0
1576	14
17	8
5	0
485	0
0	0
0	0
1250	0
516	0
18	0
42	0
257	263
237	170
49323	27
1	0
10647	136
14	0
1228	382
24	0
0	6
0	4
0	27
36	4
26	195
27	177
0	17
8	6
260	884
8	1
0	0
1924	13895
1	5532
14	1823
2	9782
11	0
0	1
0	0
0	0
0	0
3785	4
2362	0
11917	14
1799	4
2722	4
2232	2
5501	16
2	0
0	1219
645	10970
0	0
546	373
71404	505
868	2
277	0
120	457
2913	696
18	235
4052	8
3908	2
1194	0
11652	16
1997	2
862	0
4786	30
4227	7
6578	12
1317	0
2950	18
7	175
779	177
583	0
649	2
2507	6
15082	2
93	125
4581	133
54293	28
261	5
49	5
0	0
3222	2348
0	0
503	0
393	0
67	34
1650	81
0	41
1443	0
1795	4
9613	87
68	49
16972	6
519	2
1	189
2245	205
1328	0
1380	0
1356	0
8543	0
431	0
3204	12
888	4
4889	7
170	259
1321	262
3814	2
4993	6
6560	16
714	4
9349	8
1566	0
19616	4
4	0
8754	2
2734	6
5180	28
260	0
16	0
1650	2
0	0
1718	4
1555	2
1759	10
293	0
514	0
16311	8
1079	0
40	0
68021	76
726	0
3717	0
495	4
5960	19
173	0
737	0
1500	0
621	0
9903	18
3481	2
2230	4
1896	6
581	0
9171	16
2521	2
67313	46
0	0
0	0
1226	2
210	0
373	119
3456	123
359	0
248	0
1	0
1638	0
8962	79
3146	88
0	88
1394	6
1	5102
1574	20539
0	0
5474	4
464	0
824	0
4724	56
6651	2
2742	6
785	2
1118	12
1495	0
9597	19
933	6
1673	16
6950	9
13266	12
13375	6
27	0
0	4843
104	18864
265	0
0	0
1434	24
2779	0
2000	6
3461	11
83	0
811	0
952	2
1882	2
445	0
1259	2
1698	2
5568	0
3944	8
3	0
