UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
11733	42
2	0
37	21
88	1
94	0
0	0
0	0
3329	438
98970	204
27269	48
28106	114
4	336
385	342
1434	83
38	83
8630	22
3083	2
5129	0
4953	12
3975	8
2090	0
2077	134
7	132
784	0
955	0
66	493
317	493
9483	8
3630	10
198	1297
6168	1303
1590	0
1606	0
17009	12
5410	8059
35	8051
0	0
107	0
2369	16
14621	58
3	0
81	0
7734	8
200	0
1325	6
51	17
1308	20
1754	0
1840	0
907	2
826	1
180	14
2081	81
157	64
2992	4
273	0
2640	0
1669	2
2187	12
2218	1862
27	1858
2817	10
15	0
10436	17
66	0
462	130
5990	134
874	0
2296	0
6314	8
5769	6
2875	12
541	2
1598	2
4222	4
331	4
0	0
11058	6662
2	1653
9754	4
8	0
1954	16
4543	26
1397	0
1001	0
482	0
733	2
138	0
218	27201
2	9455
0	0
3976	6
7266	8
260	2
1488	5
14	3
8	0
377	0
0	0
0	0
1519	4
618	0
6	0
34	0
299	253
223	166
30305	26
0	0
8179	120
8	0
1535	429
22	0
0	14
0	1
0	32
22	4
35	119
27	123
0	5
2	26
291	835
8	1
2	0
1899	12561
0	4878
7	1776
3	9435
11	0
0	1
1	0
0	0
0	0
3092	0
2220	4
10872	8
1926	4
3119	6
2592	2
4638	22
5	0
0	893
525	8159
0	0
646	340
79208	532
785	0
283	0
98	275
1776	422
7	139
2453	0
3469	4
1123	0
10039	6
2097	0
827	0
4118	10
3559	0
4846	18
1308	8
2507	8
3	196
930	196
613	4
754	0
2721	14
8237	2
163	206
7174	214
9363	2
343	6
37	6
0	0
3065	2140
0	0
331	0
317	0
62	37
1636	81
0	36
1411	0
1854	0
13894	113
81	71
16503	10
465	0
0	174
1957	178
1328	0
1738	0
1970	0
6769	8
452	0
3434	18
686	2
3312	4
120	230
970	236
3869	8
4438	14
4142	12
439	10
10074	6
1475	2
29689	16
2	0
13417	9
2175	2
4364	12
381	0
8	0
1090	0
0	0
1557	0
1644	0
1540	6
307	4
539	2
12257	2
990	4
46	0
77732	69
674	0
2901	0
356	4
5393	11
190	0
566	0
1498	2
532	0
9752	14
3862	0
3086	2
1696	6
585	0
10779	24
2304	0
79309	44
0	0
0	0
1406	0
311	0
416	132
4136	146
336	0
308	0
1	0
1471	2
8765	70
2801	58
1	58
1259	8
0	3773
1346	16785
0	0
5123	5
385	2
803	0
3202	60
6250	2
2209	6
966	0
832	10
1351	0
7494	14
786	6
1151	6
5469	3
10108	16
12296	0
21	0
0	4819
155	16921
240	0
0	0
1618	18
2717	0
1245	4
2813	0
61	0
851	2
1033	4
1697	0
553	0
1506	2
1619	8
4578	14
3635	6
6	0
1602	6
