UniqueCount	AmbigCount
0	0
0	0
3	1
0	0
190	0
0	0
45	26
165	5
182	2
0	0
5	0
2024	594
2810	6
2866	8
10265	30
9	1066
1291	1080
4902	368
108	366
8998	18
2508	2
1247	0
10424	18
4864	2
2028	0
2015	139
9	139
1213	4
713	0
141	615
345	615
21498	8
5559	2
790	10104
37832	10152
4336	8
6274	2
6319	10
191304	237719
1317	237631
1	0
293	0
6947	46
50463	293
32	16
765	16
2960	4
798	0
1959	2
104	58
2743	58
2570	0
8674	20
1500	4
1256	0
709	105
12243	642
1040	529
7952	4
2886	6
86067	46
8967	8
6536	16
1945	1856
62	1856
6685	20
55	0
8883	28
49	0
735	208
8611	222
2037	0
4433	8
8635	4
10883	8
4804	22
2130	4
3310	2
2502	0
9499	24
0	0
13102	21077
11	4314
68115	16
138	0
3826	8
8706	34
4873	4
11693	4
1683	0
2627	8
1289	0
1426	102337
24	28384
0	0
9108	18
41571	16
2491	10
1752	30
19	24
14	0
440	2
0	0
0	3
3053	0
2063	2
32	0
64	0
819	606
765	659
1449	0
0	0
11475	90
22	0
1669	601
8	0
0	20
0	26
0	196
46	7
52	217
50	195
0	25
16	19
2982	15842
29	88
4	27
4069	26297
0	10282
21	5207
35	26144
18	0
0	1
3	0
0	0
0	0
3805	6
6549	4
13274	6
4608	0
4543	2
4126	0
5408	18
2	0
0	4119
2355	40888
0	0
310	231
26556	282
4922	4
3544	20
165	238
1207	364
7	126
3388	0
30143	10
2522	2
24394	12
1816	0
2334	2
7518	32
21457	59
2303	2
6949	20
2478	4
50	1384
8224	1394
5118	16
1749	2
8270	30
1223	0
712	1184
39311	1224
2734	8
747	34
131	34
0	0
32780	24658
3	0
289	0
307	0
277	155
4628	308
0	145
2405	2
3542	6
2726	27
33	11
1863	2
2826	6
11	424
4934	436
2022	0
565	0
797	0
11119	6
3261	2
10608	12
2577	11
2706	8
559	978
4172	998
8684	14
5217	16
130	0
133	4
26303	36
6150	9
5486	0
24	0
1736	0
11303	16
11907	46
4860	20
21	0
13601	27
0	5
1803	0
3258	8
3527	10
1893	0
2668	10
7381	4
6287	4
1134	0
18627	11
377	0
2892	4
1503	8
35191	203
736	2
869	0
8336	10
3606	6
11046	12
1482	0
5880	10
1661	0
1663	0
27698	86
3230	4
2014	0
0	0
0	0
3948	2
647	0
1290	416
10271	430
1152	0
3366	6
6	0
2544	4
21557	134
6206	183
3	181
3073	0
16	7645
5415	57867
0	3
11248	6
19786	44
31206	4
3454	36
4957	6
6645	24
3247	2
2624	28
2094	2
4050	8
4627	38
2580	6
35672	60
40717	103
43376	15
107	0
0	7061
281	46859
168	0
0	0
3825	22
16363	8
4948	13
8976	10
105	0
