Time,Ref.1,Ref.2,Ref.3,TDA.1,TDA.2,TDA.3
0,0.035,0.045,0.043,0.04,0.028,0.041
3,0.056,0.075,0.073,0.072,0.056,0.062
6,0.138,0.19,0.178,0.16,0.12,0.156
9,0.548,0.712,0.716,0.664,0.544,0.608
11,1.088,1.328,1.336,1.248,1.096,1.22
13,1.765,2.11,2.075,1.965,1.965,1.85
15,1.71,1.74,1.74,1.8,1.59,1.71
17,2.184,2.288,2.21,2.314,2.288,2.314
19,2.31,2.1,2.04,2.13,2.07,2.13
26,2.43,2.49,2.04,2.58,2.52,2.7
30,1.92,1.96,1.84,2,2.04,2.2
34,1.56,2,2.04,2.08,2.24,2.36
48.25,2.32,2,2.52,2.28,2.52,2.6
53,2.76,2.44,2.56,2.8,2.64,2.68
58,3,2.6,2.72,2.64,2.88,2.96
72,2.96,2.88,2.88,2.8,2.84,2.92
77,2.96,2.84,2.8,2.88,2.64,3.04
82,2.84,2.88,2.84,2.72,2.44,2.88
96,2.68,2.72,2.56,2.4,2.92,2.64
101,3.6173,2.7278,2.7278,2.4906,2.372,2.7871
106,3.2,3.2,3.28,3,3.52,3.28
