Time,Ref.1,Ref.2,Ref.3,TDA.1,TDA.2,TDA.3
0,0,0,0,0,0,0
6,0.2664,0.4502,0.456,0.4109,0.344,0.3979
9,1.2195,1.5029,1.5452,1.5559,1.3397,1.1359
11,1.3258,2.2483,2.4894,2.684,2.3074,2.4266
13,2.1934,3.969,3.6477,3.9952,3.615,3.6538
15,4.0144,4.7397,5.3962,4.8825,5.3124,5.1394
17,5.1747,6.1298,6.5342,6.2074,6.5572,5.8795
19,5.7416,6.4299,6.3052,6.311,3.4985,5.8667
26,6.0688,6.2593,5.9142,6.2688,6.1998,6.0711
34,3.8442,5.9968,5.8864,5.781,5.8181,5.757
48.25,3.7234,5.2705,1.9224,5.817,5.4937,5.2014
58,3.5986,4.9001,4.969,5.2452,5.2454,5.0011
72,3.3793,4.6548,4.5881,4.8665,5.1266,4.3855
82,1.469,3.8501,4.2601,4.3489,4.9255,3.9309
96,2.9229,3.6326,3.4169,3.6768,4.6099,3.3294
106,2.7262,3.2252,2.0339,2.7562,4.0882,2.8601
