Time,Ref.1,Ref.2,Ref.3,TDA.1,TDA.2,TDA.3
0,16.7869,16.2381,16.0211,16.9487,16.3158,15.5256
6,9.671,15.9378,15.8295,15.9696,15.9248,16.0039
9,13.8,13.0588,12.7921,13.02,12.6234,13.118
11,12.698,11.296,9.3789,9.7797,9.8838,10.3896
13,11.0331,5.6563,7.4861,5.0285,6.2132,7.6
15,7.0664,3.5173,2.4593,2.1404,3.3164,4.0636
17,3.2119,0.9336,0.1876,0.1699,0.5662,1.0162
19,0.5056,0,0,0,0,0
26,0,0,0,0,0,0
34,0,0,0,0,0,0
48.25,0,0,0,0,0,0
58,0,0,0,0,0,0
72,0,0,0,0,0,0
82,0,0,0,0,0,0
96,0,0,0,0,0,0
106,0,0,0,0,0,0
